,name,Background,Body,Eyes,Hieroglyphs,Mouth,Accessories,Expression,Coins,Artifacts,Keyword,alpha
3119,Chia Friends #3119,Mint,K32 (Steel),Blue,3.0,Intercom (Steel),,,,,,83
3120,Chia Friends #3120,Mint & Gradient,Broccoli (Green),Orange,,Ooo (Green),,Angry (Green),,,,139
3125,Chia Friends #3125,Mint & Watercolor,Parakeet (Yellow),Laser Visor,,Beak (Small),,,,,,103
3131,Chia Friends #3131,Mint,Broccoli (Purple),Orange,,Carne (Purple),,,,,,79
3133,Chia Friends #3133,Mint & Watercolor,Parakeet (Yellow),Cyborg,,Beak (Small),Mohawk (Blue),,,,,103
3140,Chia Friends #3140,Mint & Glimmer,Cactus (Red),Purple,,Carne (Purple),,Squint (Purple),,,,79
3175,Chia Friends #3175,Mint & Gradient,Parakeet (Green),Blue,,Beak (Small),,,,,,139
3200,Chia Friends #3200,Mint,Starling,Enlightened,,Beak (Long),,,,Fireball (Yellow),,79
3302,Chia Friends #3302,Mint & Sparkle,Marmot (Blue),Orange,,Snout (Tooth),,,,,,79
3358,Chia Friends #3358,Mint,K32 (Steel),Green,1.0,Sad (Steel),,,,,,81
3388,Chia Friends #3388,Mint,Cactus (Albino),Cyborg,,Ooo (Tan),Verdant,Wide Eyes,,,,79
3393,Chia Friends #3393,Mint & Gradient,Parakeet (Yellow),Cyborg,,Beak (Small),,,,,,139
3412,Chia Friends #3412,Mint,Cactus (Green),Blue,,Ooo (Green),,Squint (Green),,,,79
3547,Chia Friends #3547,Mint,Broccoli (Green),Cyborg,,Ooo (Green),,,,,,79
3559,Chia Friends #3559,Mint & Gradient,K32 (Steel),Closed,1.0,Sad (Steel),,,,,,141
3569,Chia Friends #3569,Mint & Gradient,Parakeet (Yellow),Vipers,,Beak (Small),,,Square,,,139
3571,Chia Friends #3571,Mint & Watercolor,Cactus (esaung),Purple,,Frown (Purple),,Squint (Purple),,Fireball (Blue),,103
3598,Chia Friends #3598,Mint,Marmot (Red),Enlightened,,Snout (Eating),Mohawk (Red),Wide Eyes,,,,79
3654,Chia Friends #3654,Mint,Marmot (Brown),Cyborg,,Snout (Eating),,,,Fireball (Yellow),,79
3663,Chia Friends #3663,Mint,Marmot (Green),Green,,Snout (Small),Bubblegum,Wide Eyes,,,,79
3760,Chia Friends #3760,Mint,Parakeet (Yellow),Enlightened,,Beak (Small),Flower (Yellow),,,,,79
3763,Chia Friends #3763,Mint,Cactus (Green),Purple,,Ooo (Green),,Squint (Green),,Emerald,,79
3771,Chia Friends #3771,Mint,Marmot (Purple),Vipers,,Snout (Eating),,,,,,79
3846,Chia Friends #3846,Mint & Gradient,Parakeet (Yellow),Laser Visor,,Beak (Small),,,,Emerald,,139
3857,Chia Friends #3857,Mint,Cucumber,Ded,,Ooo (Green),,Wide Eyes,,Snow,,79
3886,Chia Friends #3886,Mint & Gradient,Marmot (Gray),Cyborg,,Snout (Sullen),,,,,,139
3977,Chia Friends #3977,Mint,Starling,Blue,,Beak (Long),Verdant,,,,,79
4055,Chia Friends #4055,Mint & Sparkle,Marmot (Blue),Vipers,,Snout (Hungry),Verdant,,,Sparkles,,79
4107,Chia Friends #4107,Mint & Sparkle,Marmot (Brown),Green,,Snout (Eating),,,,Ruby,,79
4108,Chia Friends #4108,Mint,Marmot (Brown),Rainbow,,Snout (Hungry),,Wide Eyes,,,,79
4199,Chia Friends #4199,Mint,Cactus (esaung),Red,,Carne (Purple),Bubblegum,Squint (Purple),,,,79
4208,Chia Friends #4208,Mint & Gradient,Broccoli (Green),Blue,,Frown (Green),,Angry (Green),,Emerald,,139
4241,Chia Friends #4241,Mint,K32 (Steel),Blue,4.0,Jagged (Steel),,,,,,81
4277,Chia Friends #4277,Mint & Gradient,Marmot (Brown),Rainbow,,Snout (Drool),,,,Fireball (Yellow),,139
4287,Chia Friends #4287,Mint,K32 (Steel),Red,2.0,Sad (Steel),,,,,,81
4310,Chia Friends #4310,Mint & Sparkle,Cactus (Purple),Vipers,,Happy (Tan),,Wide Eyes,,,,79
4315,Chia Friends #4315,Mint,Seal,Cyborg,,Snout (Small),,Wide Eyes,,Emerald,,79
4338,Chia Friends #4338,Mint,Parakeet (Yellow),Orange,,Beak (Small),,,,,,79
4350,Chia Friends #4350,Mint,Cactus (Red),Laser Visor,,Carne (Tan),,Wide Eyes,,,,79
4360,Chia Friends #4360,Mint & Gradient,Broccoli (Green),Laser Visor,,Smile (Green),,Wide Eyes,,,,139
4373,Chia Friends #4373,Mint & Shimmer,Cactus (Green),Orange,,Frown (Green),,Angry (Green),,Sparkles,,79
4396,Chia Friends #4396,Mint,Cactus (esaung),Blue,,Happy (Tan),,Squint (Purple),,,,79
4424,Chia Friends #4424,Mint & Watercolor,K32 (Steel),Green,4.0,Jagged (Steel),,,,,,106
4511,Chia Friends #4511,Mint,Cactus (Ded),Zombie,,Yum,,Wide Eyes,,,,79
4522,Chia Friends #4522,Mint & Shimmer,Parakeet (Yellow),Cyborg,,Beak (Small),Mohawk (Green),,,,,79
4540,Chia Friends #4540,Mint,Marmot (Green),Purple,,Snout (Eating),,,,,,79
4579,Chia Friends #4579,Mint,Marmot (Blue),Cyborg,,Snout (Tooth),,,,,,79
4581,Chia Friends #4581,Mint,K32 (Steel),Green,2.0,Smile (Steel),,,,Sparkles,,81
4615,Chia Friends #4615,Mint & Shimmer,Parakeet (Green),Shades,,Beak (Small),,,,,,79
4625,Chia Friends #4625,Mint,K32 (Steel),Blue,2.0,Smile (Steel),,,Skull,,,81
4663,Chia Friends #4663,Mint & Gradient,Starling,Green,,Beak (Long),Mohawk (Red),,,,,139
4810,Chia Friends #4810,Mint & Sparkle,Starling,Cyborg,,Beak (Long),,,,,,79
4863,Chia Friends #4863,Mint,Marmot (Brown),Shades,,Snout (Sullen),,,,Fireball (Yellow),,79
4891,Chia Friends #4891,Mint,Broccoli (Green),Ded,,Ooo (Green),,Wide Eyes,,,,79
4895,Chia Friends #4895,Mint & Watercolor,Parakeet (Yellow),Enlightened,,Beak (Small),,,,,,103
4968,Chia Friends #4968,Mint,Cactus (Red),Rainbow,,Frown (Tan),,,,Keyword Token,Graze,79
5067,Chia Friends #5067,Mint,Marmot (Brown),Laser Visor,,Snout (Eating),,,,Sparkles,,79
5087,Chia Friends #5087,Mint & Gradient,Starling,3D Glasses,,Beak (Long),Mohawk (Red),,,,,139
5132,Chia Friends #5132,Mint & Shimmer,Parakeet (Yellow),Vipers,,Beak (Small),,,,,,79
5133,Chia Friends #5133,Mint,Cucumber,Purple,,Smile (Green),,Squint (Green),,,,79
5167,Chia Friends #5167,Mint,Cucumber,Orange,,Smile (Green),,Angry (Green),,,,79
5177,Chia Friends #5177,Mint & Gradient,Broccoli (Green),Blue,,Carne (Green),Verdant,Wide Eyes,,,,139
5202,Chia Friends #5202,Mint,Starling,3D Glasses,,Beak (Long),,,,,,79
5313,Chia Friends #5313,Mint,Cactus (Green),Green,,Frown (Green),,Angry (Green),,,,79
5343,Chia Friends #5343,Mint,Parakeet (Yellow),Red,,Beak (Small),,,,,,79
5395,Chia Friends #5395,Mint & Gradient,K32 (Steel),Blue,1.0,Smile (Steel),,,,Fireball (Yellow),,141
5396,Chia Friends #5396,Mint,Cauliflower,Green,,Smile (Tan),Bow (Gold),Wide Eyes,,,,79
5397,Chia Friends #5397,Mint,K32 (Steel),Green,1.0,Intercom (Steel),,,,Emerald,,81
