,name,Background,Body,Eyes,Hieroglyphs,Mouth,Accessories,Expression,Coins,Artifacts,Keyword,alpha
7158,Chia Friends #7158,Mint & Gradient,K32 (Steel),Closed,3.0,Sad (Steel),,,,,,142
7159,Chia Friends #7159,Mint & Sparkle,Marmot (Brown),Vipers,,Snout (Sullen),,,,,,79
7246,Chia Friends #7246,Mint & Watercolor,Parakeet (Yellow),Blue,,Beak (Small),,,,,,103
7251,Chia Friends #7251,Mint,Starling,Zombie,,Beak (Long),Verdant,,,,,79
7252,Chia Friends #7252,Mint,Parakeet (Green),Cyborg,,Beak (Small),,,,,,79
7280,Chia Friends #7280,Mint,Marmot (Green),Purple,,Snout (Sullen),,,,,,79
7313,Chia Friends #7313,Mint,Broccoli (Green),Laser Visor,,Carne (Green),,Wide Eyes,,,,79
7321,Chia Friends #7321,Mint & Gradient,Marmot (Red),Orange,,Snout (Eating),,Squint (Purple),Rainbow,,,139
7341,Chia Friends #7341,Mint & Watercolor,Marmot (Brown),Cyborg,,Snout (Drool),,Wide Eyes,,,,103
7350,Chia Friends #7350,Mint,K32 (Steel),Green,4.0,Jagged (Steel),,,,Ruby,,81
7381,Chia Friends #7381,Mint & Gradient,Parakeet (Green),Cyborg,,Beak (Small),,,,,,139
7440,Chia Friends #7440,Mint,Parakeet (Green),Orange,,Beak (Small),Mohawk (Green),,,,,79
7455,Chia Friends #7455,Mint,Parakeet (Green),Orange,,Beak (Small),,,,Emerald,,79
7513,Chia Friends #7513,Mint & Gradient,K32 (Steel),Green,2.0,Sad (Steel),,,,,,141
7558,Chia Friends #7558,Mint & Gradient,Marmot (Brown),Green,,Snout (Sullen),,Squint (Brown),,Fireball (Blue),,139
7583,Chia Friends #7583,Mint,Marmot (Green),Laser Visor,,Snout (Eating),,Wide Eyes,,,,79
7611,Chia Friends #7611,Mint,K32 (Steel),Blue,1.0,Intercom (Steel),,,,Emerald,,81
7627,Chia Friends #7627,Mint,Cactus (esaung),Orange,,Carne (Tan),,Angry (Green),,,,79
7640,Chia Friends #7640,Mint,Starling,Enlightened,,Beak (Long),,,,,,79
7675,Chia Friends #7675,Mint & Watercolor,Marmot (Red),Laser Visor,,Snout (Tooth),Flower (Red),,,,,103
7705,Chia Friends #7705,Mint,Marmot (Red),Cyborg,,Snout (Eating),,,,Snow,,79
7715,Chia Friends #7715,Mint & Gradient,Cactus (Green),Purple,,Ooo (Green),,,,Snow,,139
7725,Chia Friends #7725,Mint,Parakeet (Yellow),Blue,,Beak (Small),,,Flame,,,79
7730,Chia Friends #7730,Mint & Watercolor,Marmot (Brown),Blue,,Snout (Hungry),Bow (Purple),Squint (Brown),,,,103
7748,Chia Friends #7748,Mint,Broccoli (Purple),Cyborg,,Frown (Purple),,Wide Eyes,,,,79
7762,Chia Friends #7762,Mint & Sparkle,Broccoli (Green),Rainbow,,Happy (Green),,,,,,79
7842,Chia Friends #7842,Mint,Cactus (Red),Green,,Happy (Tan),,Squint (Purple),,Emerald,,79
7868,Chia Friends #7868,Mint,Broccoli (Green),Shades,,Ooo (Green),,Wide Eyes,,Yoyo (Gold),,79
7893,Chia Friends #7893,Mint & Glimmer,Marmot (Red),Rainbow,,Snout (Sullen),,Wide Eyes,,,,79
7902,Chia Friends #7902,Mint,Parakeet (Green),Blue,,Beak (Small),,,Key,,,79
7973,Chia Friends #7973,Mint & Watercolor,Parakeet (Yellow),Cyborg,,Beak (Small),,,,,,103
7996,Chia Friends #7996,Mint & Watercolor,Broccoli (Purple),Green,,Happy (Purple),,,,Sparkles,,103
8104,Chia Friends #8104,Mint,Marmot (Brown),Cyborg,,Snout (Hungry),,Wide Eyes,,Sparkles,,79
8108,Chia Friends #8108,Mint,Cauliflower,Orange,,Smile (Tan),,,,,,79
8153,Chia Friends #8153,Mint,Cactus (Purple),Laser Visor,,Happy (Tan),,,,,,79
8235,Chia Friends #8235,Mint,Cactus (Albino),Purple,,Frown (Tan),,,,,,79
8251,Chia Friends #8251,Mint,Marmot (Blue),Vipers,,Snout (Eating),,Wide Eyes,,,,79
8286,Chia Friends #8286,Mint,Starling,Cyborg,,Beak (Long),,,,Emerald,,79
8297,Chia Friends #8297,Mint & Watercolor,Marmot (Brown),Rainbow,,Snout (Sullen),,,,Emerald,,103
8365,Chia Friends #8365,Mint & Glimmer,Cactus (Purple),Blue,,Frown (Purple),,Squint (Purple),,,,79
8440,Chia Friends #8440,Mint,Parakeet (Yellow),Laser Visor,,Beak (Small),,,,,,79
8455,Chia Friends #8455,Mint,Marmot (Red),Blue,,Snout (Eating),,Squint (Brown),,,,79
8459,Chia Friends #8459,Mint & Gradient,Cactus (Purple),Orange,,Frown (Purple),,Wide Eyes,,Emerald,,139
8476,Chia Friends #8476,Mint & Gradient,Parakeet (Yellow),Laser Visor,,Beak (Small),,,,,,139
8510,Chia Friends #8510,Mint & Gradient,Cactus (Green),Green,,Ooo (Green),,Angry (Green),,,,139
8556,Chia Friends #8556,Mint,K32 (Steel),Green,1.0,Intercom (Steel),,,,,,81
8627,Chia Friends #8627,Mint,Parakeet (Yellow),Shades,,Beak (Small),,,,Fireball (Blue),,79
8630,Chia Friends #8630,Mint,Marmot (Brown),Green,,Snout (Hungry),,Squint (Brown),,Fireball (Yellow),,79
8733,Chia Friends #8733,Mint & Sparkle,Cucumber,Blue,,Ooo (Green),,,Eye,,,79
8742,Chia Friends #8742,Mint & Gradient,K32 (Steel),Red,2.0,Jagged (Steel),,,,,,141
8809,Chia Friends #8809,Mint & Gradient,K32 (Steel),Yellow,1.0,Intercom (Steel),,,,,,141
8814,Chia Friends #8814,Mint,Parakeet (Yellow),Shades,,Beak (Small),,,,,,79
8822,Chia Friends #8822,Mint & Watercolor,Marmot (Brown),Cyborg,,Snout (Hungry),,Wide Eyes,Crown,,,103
8894,Chia Friends #8894,Mint & Watercolor,Marmot (Red),Cyborg,,Snout (Drool),,,,Yoyo,,103
8919,Chia Friends #8919,Mint,Marmot (Brown),Cyborg,,Snout (Tooth),,,,,,79
8927,Chia Friends #8927,Mint,Marmot (Brown),Rainbow,,Snout (Eating),Verdant,,,,,79
8932,Chia Friends #8932,Mint,Starling,Shades,,Beak (Long),,,Hamburger,,,79
9017,Chia Friends #9017,Mint,Marmot (Blue),Enlightened,,Snout (Sullen),,Wide Eyes,,Fireball (Yellow),,79
9043,Chia Friends #9043,Mint,Marmot (Red),Orange,,Snout (Drool),,Wide Eyes,,,,79
9067,Chia Friends #9067,Mint & Sparkle,Cactus (esaung),Enlightened,,Smile (Purple),,Wide Eyes,,,,79
9090,Chia Friends #9090,Mint,Marmot (Brown),Blue,,Snout (Tooth),,Wide Eyes,Butterfly,,,79
9120,Chia Friends #9120,Mint,Parakeet (Green),Zombie,,Beak (Small),,,,,,79
9213,Chia Friends #9213,Mint & Gradient,Seal,Shades,,Snout (Small),,,,,,139
9239,Chia Friends #9239,Mint,Marmot (Blue),Blue,,Snout (Eating),,,,,,79
9240,Chia Friends #9240,Mint & Gradient,K32 (Steel),Closed,4.0,Happy (Steel),,,,,,141
9261,Chia Friends #9261,Mint,Seal,Shades,,Snout (Sullen),,Wide Eyes,,,,79
9286,Chia Friends #9286,Mint,Parakeet (Green),Cyborg,,Beak (Small),Verdant,,,,,79
9316,Chia Friends #9316,Mint,Marmot (Brown),Purple,,Snout (Tooth),,,,,,79
9318,Chia Friends #9318,Mint,Cactus (Purple),Green,,Frown (Purple),,Squint (Purple),,,,79
9321,Chia Friends #9321,Mint & Gradient,Cactus (Green),Orange,,Happy (Green),,Angry (Green),,,,139
9335,Chia Friends #9335,Mint & Gradient,Cactus (Green),Blue,,Carne (Green),,,,,,139
9351,Chia Friends #9351,Mint,Starling,Purple,,Beak (Long),,,,,,79
9353,Chia Friends #9353,Mint,Starling,Cyborg,,Beak (Long),Flower (Yellow),,,,,79
9354,Chia Friends #9354,Mint & Gradient,Broccoli (Green),Blue,,Frown (Green),,Squint (Green),,,,139
9377,Chia Friends #9377,Mint,Starling,Zombie,,Beak (Long),,,,Emerald,,79
9490,Chia Friends #9490,Mint,Cauliflower,Shades,,Smile (Tan),,Wide Eyes,,,,79
9527,Chia Friends #9527,Mint,Parakeet (Green),Zombie,,Beak (Small),Bubblegum,,,,,79
9577,Chia Friends #9577,Mint,Cucumber,Vipers,,Ooo (Green),,,,Yoyo,,79
9672,Chia Friends #9672,Mint,Starling,Cyborg,,Beak (Long),,,,Sparkles,,79
9777,Chia Friends #9777,Mint & Gradient,K32 (Steel),Closed,2.0,Sad (Steel),,,Smile,,,141
9789,Chia Friends #9789,Mint & Gradient,Cactus (Green),Purple,,Frown (Green),,Wide Eyes,Lightning,,,139
9793,Chia Friends #9793,Mint & Gradient,Marmot (Brown),Rainbow,,Snout (Small),,,,,,139
9816,Chia Friends #9816,Mint,Parakeet (Yellow),Purple,,Beak (Small),,,,,,79
9862,Chia Friends #9862,Mint & Watercolor,Cactus (Green),Green,,Frown (Green),Flower (Red),Squint (Green),,,,103
9906,Chia Friends #9906,Mint,Cactus (Ded),Zombie,,Yum,,,,,,79
9917,Chia Friends #9917,Mint,K32 (Steel),Green,4.0,Sad (Steel),,,,Fireball (Yellow),,81
9918,Chia Friends #9918,Mint,Parakeet (Yellow),Cyborg,,Beak (Small),,,Smile,,,79
